id,split,caption
train_06203,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for height are represented by 'H' (tall) and 'h' (short). The Punnett square has four boxes:

- Top left box labeled 'HH'
- Top right box labeled 'Hh'
- Bottom left box labeled 'Hh'
- Bottom right box labeled 'hh'

Each box contains the resulting genotype for the offspring when combining the alleles from both parents. The alleles are written in blue text within each box."
train_08627,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for a particular trait are labeled as 'D' (dominant) and 'd' (recessive). The Punnett square has four boxes:

- Top left box: Dd
- Top right box: Dd
- Bottom left box: dd
- Bottom right box: dd

The alleles 'D' and 'd' are written in blue text. The squares are divided into two rows and two columns, representing the possible combinations of alleles from the parents."
train_09042,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with known genotypes. The alleles for eye color are represented by 'E' (dominant) and 'e' (recessive). The Punnett square has four boxes:

- Top row labels: E and e
- Left column labels: E and e
- The boxes contain the following combinations:
  - EE in the top left box
  - Ee in the top right box
  - EE in the bottom left box
  - Ee in the bottom right box

The squares are colored blue, indicating the presence of the 'E' allele."
train_01964,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with known genotypes. The alleles for eye color are represented by 'E' (dominant) and 'e' (recessive). The Punnett square has four boxes:

- Top row labels: E and e
- Left column labels: E and e
- The boxes contain the following combinations:
  - EE in the top left box
  - Ee in the top right box
  - EE in the bottom left box
  - Ee in the bottom right box

The squares are colored blue, indicating the presence of the 'E' allele."
train_07404,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The top row and left column have the alleles 'F' and 'f'. The squares within the Punnett square contain combinations of these alleles, resulting in the following combinations:

- FF
- Ff
- Ff
- ff

The colors are blue for all alleles. The Punnett square is a grid with four cells, each representing a possible offspring genotype."
train_09343,train,"The image shows a Punnett square, which is a tool used in genetics to predict the offspring of two parents with known genotypes. The Punnett square has four boxes arranged in a 2x2 grid. Each box contains the genotype ""Ff,"" indicating that both parents have one allele for a trait (F) and one allele for another trait (f). The alleles are represented by the letter ""F"" and ""f."" The squares are colored blue, and the text ""Ff"" is written in white within each square. There are no additional labels, titles, or annotations outside the Punnett square itself."
train_08766,train,"The image shows a table with four cells arranged in a 2x2 grid. The top row has two 'b' labels, and the left column has three 'b' labels. Each cell contains the text 'bb' in blue. The table is bordered by light gray lines, and the background of the cells is white. There are no additional labels, titles, or annotations present in the image."
train_01748,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for the gene being studied are represented by 'F' and 'f'. The top row and left column indicate the alleles contributed by each parent. The squares in the Punnett square represent the possible combinations of alleles that can be inherited by offspring. The alleles 'F' and 'f' are written inside the squares, indicating the genotype of each offspring."
train_05049,train,"The image shows a table with four cells arranged in a 2x2 grid. Each cell contains the text ""ff"" in blue. The top row has two cells labeled ""f"" on either side. The left column also has the label ""f"" above it. There are no other labels, titles, or annotations present in the image. The visual structure is a simple table with a consistent color scheme for the text within each cell."
train_00077,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for the trait being studied are B (dominant) and b (recessive). The squares are labeled as follows:

- Top row: B (dominant allele)
- Left column: B (dominant allele) and b (recessive allele)

The resulting genotypes are:
- BB (homozygous dominant)
- Bb (heterozygous)
- Bb (heterozygous)
- bb (homozygous recessive)

The Punnett square is a grid with four boxes, each representing a possible combination of alleles from the parents. The colors are blue for the alleles and white for the background."
train_04688,train,"The image shows a Punnett square, which is used in genetics to predict the possible outcomes of a genetic cross. The squares are labeled with ""Hh"" in blue text, indicating that both parents have one allele for a trait (H) and one allele for another trait (h). The alleles are represented by the letter H for the dominant trait and h for the recessive trait. The Punnett square has four boxes, each containing the genotype ""Hh,"" representing the possible combinations of alleles that offspring could inherit from their parents."
train_12620,train,"The image shows a table with four cells arranged in a 2x2 grid. The top row has two 'b' labels, and the left column has three 'b' labels. Each cell contains the text 'bb' in blue. The table is bordered by light gray lines, and the background of the cells is white. There are no additional labels, titles, or annotations present in the image."
train_07389,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with the genotype Aa. The squares are labeled with the alleles 'A' and 'a' for each parent. The top row and left column are labeled 'a' and 'A', respectively. Each square contains the genotype 'Aa'. The colors are blue for the alleles and white for the squares. There are no additional labels or annotations beyond those described."
train_02484,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for height are represented by 'H' (tall) and 'h' (short). The Punnett square has four boxes:

1. Top left box labeled 'Hh'
2. Top right box labeled 'hh'
3. Bottom left box labeled 'Hh'
4. Bottom right box labeled 'hh'

The alleles 'H' and 'h' are written inside each box, indicating the possible combinations of alleles that offspring could inherit. The colors 'Hh' and 'hh' are highlighted in blue."
train_09296,train,"The image shows a table with four cells arranged in a 2x2 grid. The top row has two 'm' labels, and the left column has three 'm' labels. Each cell contains the text 'mm' in blue. The table appears to be part of a biology question, possibly related to genetics or molecular biology, given the 'm' labels which could represent alleles or molecules."
train_06364,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with the given genotypes. The top row and left column represent the alleles for each parent:

- The top row has ""M"" (dominant allele) and ""m"" (recessive allele).
- The left column also has ""M"" and ""m"".

The squares in the Punnett square are labeled as follows:
- Top-left square: MM
- Top-right square: Mm
- Bottom-left square: MM
- Bottom-right square: Mm

The alleles are written in blue text. The Punnett square is a grid with four boxes, representing all possible combinations of alleles that can be inherited by the offspring."
train_08910,train,"The image shows a table with four cells arranged in a 2x2 grid. Each cell contains the text ""FF"" in blue. The top row has two cells labeled ""F"" on the left side of each cell. The left column has three cells labeled ""F"" vertically. There are no additional labels, titles, or annotations present in the image. The visual structure is a simple table with a consistent color scheme for the text and background."
train_02379,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for a particular trait are represented by 'F' (dominant) and 'f' (recessive). The Punnett square has four boxes:

- Top row: F (dominant allele)
- Bottom row: f (recessive allele)

- Left column: F (dominant allele)
- Right column: f (recessive allele)

The squares contain the following combinations:
- Top left: FF
- Top right: Ff
- Bottom left: FF
- Bottom right: Ff

The colors are blue for the alleles and white for the background of the squares. There are no additional labels, titles, or annotations beyond those described."
train_01457,train,"The image shows a Punnett square, which is a tool used in genetics to predict the offspring of two parents with known genotypes. The Punnett square has four boxes arranged in a 2x2 grid. Each box contains the genotype ""Ff,"" indicating that both parents have one allele for a trait (F) and one allele for another trait (f). The alleles are represented by the letter ""F"" and ""f."" The squares are colored blue, and the text ""Ff"" is written in white within each square. There are no additional labels, titles, or annotations outside the Punnett square itself."
train_08554,train,"The image shows a table with four cells arranged in a 2x2 grid. Each cell contains the text ""FF"" in blue. The top row has two cells labeled ""F"" on the left side of each cell. The left column has three cells labeled ""F"" vertically. There are no additional labels, titles, or annotations present in the image. The visual structure is a simple table with a consistent color scheme for the text and background."
train_11345,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The top row and left column have the alleles 'F' and 'f'. The squares within the Punnett square contain combinations of these alleles, resulting in the following combinations:

- FF
- Ff
- Ff
- ff

The colors are blue for all alleles. The Punnett square is a grid with four cells, each representing a possible offspring genotype."
train_02951,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for the trait being studied are B (dominant) and b (recessive). The squares are labeled as follows:

- Top row: B (dominant allele)
- Left column: B (dominant allele) and b (recessive allele)

The resulting genotypes are:
- BB (homozygous dominant)
- Bb (heterozygous)
- Bb (heterozygous)
- bb (homozygous recessive)

The Punnett square is a grid with four boxes, each representing a possible combination of alleles from the parents. The colors are blue for the alleles and white for the background."
train_08496,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for a particular trait are labeled as 'D' (dominant) and 'd' (recessive). The Punnett square has four boxes:

- Top left box: Dd
- Top right box: Dd
- Bottom left box: dd
- Bottom right box: dd

The alleles 'D' and 'd' are written in blue text. The squares are divided into two rows and two columns, representing the possible combinations of alleles from the parents."
train_11045,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for a particular trait are labeled as A (dominant) and a (recessive). The Punnett square has four boxes:

- Top row labels: A and a
- Left column labels: A and a
- The boxes contain the following combinations:
  - AA in the top-left box
  - Aa in the top-right box
  - Aa in the bottom-left box
  - aa in the bottom-right box

The alleles are written in blue text within the boxes."
train_01029,train,"The image shows a table with four cells arranged in a 2x2 grid. The top row has labels ""I"" and ""i"", and the left column has labels ""I"" and ""i"". Each cell contains a symbol representing a genotype combination. The symbols are ""II"", ""Ii"", ""ii"", and ""ii"". The symbols are written in blue text. There are no additional labels, titles, or annotations present in the image."
train_00335,train,"The image shows a grid with four cells arranged in a 2x2 format. Each cell contains the text ""LL"" in blue. The grid lines are light gray, and there are two vertical labels on the left side of the grid, each labeled ""L"". There are no other visible texts or annotations within the image. The visual structure is a simple grid layout with uniform cells containing identical text."
train_10488,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The top row and left column have the alleles 'F' and 'f'. The squares within the Punnett square contain combinations of these alleles, resulting in the following combinations:

- FF
- Ff
- Ff
- ff

The colors are blue for all alleles. The Punnett square is a grid with four cells, each representing a possible offspring genotype."
train_06291,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with the genotype Ff. The squares are labeled with the alleles F and f for each parent. The resulting genotypes are Ff, Ff, Ff, and Ff, all appearing twice. The colors are blue for the alleles and white for the background. There are no additional labels or annotations outside the Punnett square itself."
train_00262,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_02624,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_03980,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_05128,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_05373,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_06706,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_07888,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_08098,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_08544,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_08581,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_10217,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_10262,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_10530,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_12064,train,"The image shows a large, spherical object with a white exterior and orange accents. The sphere has a small, dark-colored component attached near its top. The background features a large, open structure with a grid-like ceiling and vertical supports. The lighting is bright, highlighting the sphere and the surrounding area. There are no visible texts or labels within the image."
train_01728,train,"The image shows a table with four cells arranged in a 2x2 grid. The top row has labels ""L"" and ""I,"" and the left column has labels ""L"" and ""L."" Each cell contains the letters ""LL"" or ""LI."" The background of the cells is white, and the text within the cells is blue. There are no additional labels, titles, or annotations present in the image."
train_00002,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_00714,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_01008,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_03165,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_04197,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_06146,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_06401,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_07844,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_08864,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_08972,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_09550,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_09872,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_10907,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_12366,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_12510,train,"The image shows a person skiing down a snowy slope. The skier is wearing a red jacket, blue pants, and a yellow hat. The background features snow-covered trees and a clear sky."
train_02682,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for the gene being studied are B (dominant) and b (recessive). The top row and left column represent the alleles contributed by each parent:

- Top row: B (dominant allele)
- Left column: b (recessive allele)

The squares in the Punnett square represent the possible combinations of alleles that offspring could inherit:

- Top-left square: Bb
- Top-right square: bb
- Bottom-left square: Bb
- Bottom-right square: bb

The alleles are written in blue text within the squares."
train_00158,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for a particular trait are represented by 'B' (dominant) and 'b' (recessive). The squares are labeled as follows:

- Top row: B (dominant allele)
- Bottom row: b (recessive allele)
- Left column: B (dominant allele)
- Right column: b (recessive allele)

The squares contain the following combinations:
- Top left: BB
- Top right: Bb
- Bottom left: Bb
- Bottom right: bb

The colors used are blue for 'B' and 'b', and white for the background. The Punnett square is a grid with four cells, each representing a possible combination of alleles resulting from the cross."
train_12444,train,"The image shows a table with four cells arranged in a 2x2 grid. The top row has two 'b' labels, and the left column has three 'b' labels. Each cell contains the text 'bb' in blue. The table is bordered by light gray lines, and the background of the cells is white. There are no additional labels, titles, or annotations present in the image."
train_05822,train,"The image shows a table with four cells arranged in a 2x2 grid. The top row has two 'b' labels, and the left column has three 'b' labels. Each cell contains the text 'bb' in blue. The table is bordered by light gray lines, and the background of the cells is white. There are no additional labels, titles, or annotations present in the image."
train_06751,train,"The image shows a Punnett square, which is used in genetics to predict the possible outcomes of a genetic cross. The letters ""E"" and ""e"" represent alleles for a particular gene. The top row and left column have the alleles ""E"" and ""e,"" respectively. The squares in the Punnett square contain the combinations of alleles that result from the cross between two parents with the genotypes ""Ee"" and ""ee."" Each square represents a possible offspring genotype, with all squares containing the genotype ""Ee."""
train_00566,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for height are represented by 'H' (tall) and 'h' (short). The Punnett square has four boxes:

1. Top left box labeled 'Hh'
2. Top right box labeled 'hh'
3. Bottom left box labeled 'Hh'
4. Bottom right box labeled 'hh'

The alleles 'H' and 'h' are written inside each box, indicating the possible combinations of alleles that offspring could inherit. The colors 'Hh' and 'hh' are highlighted in blue."
train_01817,train,"The image shows a table with four cells arranged in a 2x2 grid. The top row has two 'b' labels, and the left column has three 'b' labels. Each cell contains the text 'bb' in blue. The table is bordered by light gray lines, and the background of the cells is white. There are no additional labels, titles, or annotations present in the image."
